Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
10,0,48,1,4.8,48,60,5,4,v England,Birmingham,Away,02-Sep-14,Win,60,0,60,32,23,1,0,0.729166667,2.073352095,Dead/Flat,2,Clear,3.073352095,3,1
10,2,49,1,4.9,49,60,5,4,v England,Leeds,Away,05-Sep-14,Loss,60,0,60,37,14,3,0,0.745833333,2.108197534,Green,1.5,Sunny,3.108197534,3,1
9,0,52,1,5.77,52,54,2,5,v Sri Lanka,Cuttack,Home,02-Nov-14,Win,54,0,54,26,20,1,0,0.671296296,1.956772233,Dead/Flat,2,Clear,2.956772233,2,0
10,1,49,2,4.9,24.5,30,2,5,v Sri Lanka,Ahmedabad,Home,06-Nov-14,Win,60,0,60,31,23,0,0,0.708333333,2.030604096,Dusty/Dry,1,Clear,4.030604096,4,1
10,0,43,1,4.3,43,60,2,5,v Sri Lanka,Hyderabad (Deccan),Home,09-Nov-14,Win,60,0,60,29,27,1,0,0.7125,2.039082598,Dusty/Dry,1,Overcast,3.039082598,3,1
10,1,56,2,5.6,28,30,2,5,v Sri Lanka,Ranchi,Home,16-Nov-14,Win,60,0,60,32,20,0,2,0.7,2.013752707,Dead/Flat,2,Clear,4.013752707,4,1
9,0,54,1,6,54,54,1,5,v Australia,Melbourne,Away,18-Jan-15,Loss,54,0,54,24,23,2,0,0.666666667,1.947734042,Green,1.5,Clear,2.947734042,2,0
8,3,41,1,5.12,41,48,6,4,v Pakistan,Adelaide,Neutral,15-Feb-15,Win,48,0,48,30,10,2,0,0.739583333,2.095062389,Dead/Flat,2,Sunny,3.095062389,3,1
10,0,41,3,4.1,13.66,20,4,4,v South Africa,Melbourne,Neutral,22-Feb-15,Win,60,0,60,34,19,1,1,0.729166667,2.073352095,Dusty/Dry,1,Clear,5.073352095,5,1
10,1,25,4,2.5,6.25,15,,1,v U.A.E.,Perth,Neutral,28-Feb-15,Win,60,0,60,44,11,3,1,0.8375,2.310583292,Dusty/Dry,1,Sunny,6.310583292,6,1
9,0,38,1,4.22,38,54,8,3,v West Indies,Perth,Neutral,06-Mar-15,Win,54,0,54,33,15,2,0,0.759259259,2.136692898,Green,1.5,Clear,3.136692898,3,1
10,1,38,2,3.8,19,30,12,2,v Ireland,Hamilton,Neutral,10-Mar-15,Win,60,0,60,37,16,4,0,0.766666667,2.152579019,Dead/Flat,2,Sunny,4.152579019,4,1
10,0,75,1,7.5,75,60,10,2,v Zimbabwe,Auckland,Neutral,14-Mar-15,Win,60,0,60,28,20,1,0,0.6375,1.891745599,Green,1.5,Sunny,2.891745599,2,0
10,1,30,0,3,,,9,3,v Bangladesh,Melbourne,Neutral,19-Mar-15,Win,60,0,60,39,17,3,0,0.804166667,2.234833362,Dead/Flat,2,Sunny,2.234833362,2,0
10,0,42,1,4.2,42,60,1,5,v Australia,Sydney,Away,26-Mar-15,Loss,60,0,60,34,17,5,1,0.729166667,2.073352095,Dead/Flat,2,Clear,3.073352095,3,1
10,0,51,3,5.1,17,20,7,3,v Bangladesh,Mirpur,Away,18-Jun-15,Loss,60,0,60,30,25,0,0,0.708333333,2.030604096,Dusty/Dry,1,Sunny,5.030604096,5,1
10,2,32,1,3.2,32,60,7,3,v Bangladesh,Mirpur,Away,21-Jun-15,Loss,60,0,60,41,13,3,0,0.804166667,2.234833362,Dusty/Dry,1,Overcast,3.234833362,3,1
10,1,35,2,3.5,17.5,30,7,3,v Bangladesh,Mirpur,Away,24-Jun-15,Win,60,0,60,36,20,1,1,0.770833333,2.161566808,Dusty/Dry,1,Overcast,4.161566808,4,1
4.4,0,14,1,3,14,28,4,4,v South Africa,Kanpur,Home,11-Oct-15,Loss,24,4,28,17,9,1,1,0.776785714,2.174471647,Dead/Flat,2,Clear,3.174471647,3,1
9,0,68,2,7.55,34,27,1,5,v Australia,Perth,Away,12-Jan-16,Loss,54,0,54,17,26,2,0,0.564814815,1.75912199,Dead/Flat,2,Overcast,3.75912199,3,1
10,0,60,0,6,,,1,5,v Australia,Brisbane,Away,15-Jan-16,Loss,60,0,60,20,29,6,1,0.6,1.8221188,Dead/Flat,2,Overcast,1.8221188,1,0
8,0,63,0,7.87,,,6,4,v England,Pune,Home,15-Jan-17,Win,48,0,48,15,21,6,0,0.5625,1.755054657,Dead/Flat,2,Clear,1.755054657,1,0
10,0,65,3,6.5,21.66,20,6,4,v England,Cuttack,Home,19-Jan-17,Win,60,0,60,24,27,3,0,0.6375,1.891745599,Dead/Flat,2,Sunny,4.891745599,4,1
9,0,60,0,6.66,,,6,4,v England,Kolkata,Home,22-Jan-17,Loss,54,0,54,21,25,1,0,0.625,1.868245957,Dead/Flat,2,Sunny,1.868245957,1,0
9,0,43,1,4.77,43,54,1,5,v South Africa,The Oval,Neutral,11-Jun-17,Win,54,0,54,27,22,1,0,0.708333333,2.030604096,Green,1.5,Sunny,3.030604096,3,1
10,0,54,0,5.4,,,7,3,v Bangladesh,Birmingham,Neutral,15-Jun-17,Win,60,0,60,27,27,2,0,0.683333333,1.980468302,Green,1.5,Sunny,1.980468302,1,0
10,0,70,0,7,,,8,3,v Pakistan,The Oval,Neutral,18-Jun-17,Loss,60,0,60,25,25,2,1,0.633333333,1.883879723,Green,1.5,Sunny,1.883879723,1,0
,,,,,,,9,3,v West Indies,Port of Spain,Away,23-Jun-17,No Result,,,,,,,,,,,,,,,
9,0,47,1,5.22,47,54,9,3,v West Indies,Port of Spain,Away,25-Jun-17,Win,54,0,54,25,21,4,0,0.675925926,1.965852367,Dead/Flat,2,Overcast,2.965852367,2,0
10,1,28,3,2.8,9.33,20,9,3,v West Indies,North Sound,Away,30-Jun-17,Win,60,0,60,42,13,4,0,0.825,2.281880765,Dusty/Dry,1,Overcast,5.281880765,5,1
10,0,53,1,5.3,53,60,6,4,v South Africa,Paarl,Away,19-Jan-22,Loss,60,0,60,20,32,5,0,0.620833333,1.860477794,Dead/Flat,2,Sunny,2.860477794,2,0
10,1,68,0,6.8,,,6,4,v South Africa,Paarl,Away,21-Jan-22,Loss,60,0,60,24,24,4,0,0.616666667,1.852741932,Dusty/Dry,1,Sunny,1.852741932,1,0
